,alias,baseCcy,category,ctMult,ctType,ctVal,ctValCcy,expTime,instFamily,instId,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtAmt,maxLmtSz,maxMktAmt,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,optType,quoteCcy,settleCcy,state,stk,tickSz,uly
0,,BTC,1,,,,,,,BTC-BRL,SPOT,,1707291027000,0.00000001,9999999999.0000000000000000,20000000,9999999999,1000000,1000000,1000000,9999999999.0000000000000000,9999999999.0000000000000000,0.00001,,BRL,,live,,0.1,
1,,ETH,1,,,,,,,ETH-BRL,SPOT,,1707291050000,0.0000001,99999999999.0000000000000000,20000000,99999999999,1000000,1000000,1000000,99999999999.0000000000000000,99999999999.0000000000000000,0.0001,,BRL,,live,,0.01,
2,,USDT,1,,,,,,,USDT-BRL,SPOT,,1707290990000,0.00001,9999999999999.0000000000000000,20000000,9999999999999,1000000,1000000,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,0.1,,BRL,,live,,0.001,
3,,BTC,1,,,,,,,BTC-EUR,SPOT,,1700539798000,0.00000001,9999999999.0000000000000000,20000000,9999999999,1000000,1000000,1000000,9999999999.0000000000000000,9999999999.0000000000000000,0.00001,,EUR,,live,,0.1,
4,,ETH,1,,,,,,,ETH-EUR,SPOT,,1700539798000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.0001,,EUR,,live,,0.01,
5,,SOL,1,,,,,,,SOL-EUR,SPOT,,1700539798000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.01,,EUR,,live,,0.01,
6,,DOGE,1,,,,,,,DOGE-EUR,SPOT,,1700539798000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,10,,EUR,,live,,0.00001,
7,,1INCH,1,,,,,,,1INCH-EUR,SPOT,,1700539798000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,10,,EUR,,live,,0.0001,
8,,ADA,1,,,,,,,ADA-EUR,SPOT,,1700539798000,0.0001,99999999999999.0000000000000000,20000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,10,,EUR,,live,,0.0001,
9,,AVAX,1,,,,,,,AVAX-EUR,SPOT,,1700539798000,0.000001,999999999999.0000000000000000,20000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,0.1,,EUR,,live,,0.001,
